Filename,N,M,Genus,Status,Circuits,Time(s),PartialRaw
inf-power_sub0_n21_m36_cr16.gr,21,36,16,TIMEOUT,0,600.006,6036035492
inf-power_sub2_n15_m23_cr9.gr,15,23,9,OK,18031,0.100063,829440
inf-power_sub5_n15_m28_cr14.gr,15,28,14,OK,23362560,134.166,1308303360
inf-euroroad_sub6_n25_m36_cr12.gr,25,36,12,OK,22016,0.448254,1585152
inf-euroroad_sub7_n28_m41_cr14.gr,28,41,14,OK,103099,3.5319,8454144
inf-euroroad_sub1_n22_m31_cr10.gr,22,31,10,OK,619,0.0101805,38400
inf-power_sub7_n14_m27_cr14.gr,14,27,14,OK,2129920,19.5983,115015680
inf-power_sub6_n13_m19_cr7.gr,13,19,7,OK,606,0.00265694,23040
inf-euroroad_sub5_n25_m36_cr12.gr,25,36,12,OK,36096,0.751492,2598912
inf-power_sub4_n15_m26_cr12.gr,15,26,12,OK,829440,5.81088,43130880
inf-euroroad_sub0_n26_m40_cr15.gr,26,40,15,OK,814406,15.3682,65152512
inf-euroroad_sub3_n33_m50_cr18.gr,33,50,18,TIMEOUT,0,600.004,1455835002
inf-euroroad_sub4_n22_m32_cr11.gr,22,32,11,OK,2520,0.042804,161280
inf-power_sub3_n29_m44_cr16.gr,29,44,16,OK,5881483,199.429,517570560
inf-power_sub1_n29_m43_cr15.gr,29,43,15,OK,7407092,151.644,637009920
inf-euroroad_sub2_n25_m35_cr11.gr,25,35,11,OK,3401,0.06237,238080
