Filename,N,M,Genus,Status,Circuits,Time(s),PartialRaw
dense_n7_g6.gr,7,13,7,OK,45,0.00161,1184
tangled_n7_g7.gr,7,14,8,OK,356,0.0029788,9984
tangled_n7_g6.gr,7,14,8,OK,393,0.0021007,11008
tangled_n7_g8.gr,7,15,9,OK,1715,0.0080221,51456
medium_n8_g6.gr,8,15,8,OK,337,0.0016029,10112
medium_n8_g7.gr,8,15,8,OK,114,0.0026366,3424
dense_n7_g7.gr,7,16,10,OK,3848,0.0153857,123136
dense_n7_g8.gr,7,16,10,OK,5976,0.0150574,191232
tangled_n7_g9.gr,7,17,11,OK,97174,0.216795,3303936
dense_n6_g9.gr,6,18,13,OK,1707008,4.16449,61452288
dense_n6_g10.gr,6,18,13,OK,1221120,3.13222,43960320
medium_n9_g8.gr,9,19,11,OK,9054,0.0245815,344064
tangled_n7_g10.gr,7,20,14,OK,3501619,11.2871,140064768
medium_n9_g9.gr,9,20,12,OK,41587,0.22941,1663488
sparse_n15_g5.gr,15,20,6,OK,11,0.0009312,448
tangled_n7_g11.gr,7,21,15,OK,116588982,356.02,4896737280
medium_n10_g10.gr,10,21,12,OK,68461,0.259784,2875392
tangled_n7_g12.gr,7,21,15,OK,14910171,53.4312,626227200
sparse_n16_g6.gr,16,21,6,OK,5,0.000236,240
medium_n10_g11.gr,10,23,14,OK,246160,1.19352,11323392
tangled_n7_g13.gr,7,24,18,TIMEOUT,0,600.006,8122717274
medium_n10_g12.gr,10,24,15,OK,40750080,136.656,1956003840
sparse_n17_g7.gr,17,24,8,OK,66,0.0014767,3200
tangled_n7_g14.gr,7,26,20,TIMEOUT,0,600.005,7964849265
tangled_n7_g15.gr,7,27,21,TIMEOUT,0,600.002,9808532748
sparse_n18_g8.gr,18,27,10,OK,1035,0.0071983,55936
tangled_n7_g16.gr,7,28,22,TIMEOUT,0,600.001,8665486533
sparse_n19_g9.gr,19,29,11,OK,1125,0.0116365,65280
tangled_n7_g17.gr,7,30,24,TIMEOUT,0,600.005,7192037633
sparse_n20_g10.gr,20,31,12,OK,3239,0.0337222,200832
sparse_n22_g11.gr,22,33,12,OK,1635,0.0265798,107968
sparse_n24_g12.gr,24,37,14,OK,60637,0.755751,4487168
sparse_n27_g13.gr,27,40,14,OK,33875,0.481156,2710016
sparse_n30_g14.gr,30,45,16,OK,322953,5.72697,29065792
