Filename,Eulerian Circuits,Time Elapsed (s),Status
cactus_g10_M100_r1.gr,1024,2.97326,COMPLETE
cactus_g10_M100_r2.gr,2048,3.64385,COMPLETE
cactus_g10_M100_r3.gr,2048,3.56251,COMPLETE
cactus_g10_M120_r1.gr,1024,6.82208,COMPLETE
cactus_g10_M120_r2.gr,512,7.41127,COMPLETE
cactus_g10_M120_r3.gr,1024,6.65951,COMPLETE
cactus_g10_M150_r1.gr,1024,10.4322,COMPLETE
cactus_g10_M150_r2.gr,1024,11.4887,COMPLETE
cactus_g10_M150_r3.gr,512,12.163,COMPLETE
cactus_g10_M180_r1.gr,1024,24.6066,COMPLETE
cactus_g10_M180_r2.gr,512,25.8044,COMPLETE
cactus_g10_M180_r3.gr,512,22.6206,COMPLETE
cactus_g10_M210_r1.gr,1024,67.1479,COMPLETE
cactus_g10_M210_r2.gr,2048,104.985,COMPLETE
cactus_g10_M210_r3.gr,512,102.456,COMPLETE
cactus_g10_M250_r1.gr,512,211.815,COMPLETE
cactus_g10_M250_r2.gr,512,189.879,COMPLETE
cactus_g10_M250_r3.gr,512,182.389,COMPLETE
cactus_g10_M300_r1.gr,512,216.287,COMPLETE
cactus_g10_M300_r2.gr,1024,273.233,COMPLETE
cactus_g10_M300_r3.gr,512,195.648,COMPLETE
cactus_g10_M40_r1.gr,2048,0.234199,COMPLETE
cactus_g10_M40_r2.gr,1024,0.503552,COMPLETE
cactus_g10_M40_r3.gr,8192,0.613643,COMPLETE
cactus_g10_M60_r1.gr,1024,2.04836,COMPLETE
cactus_g10_M60_r2.gr,1024,1.89941,COMPLETE
cactus_g10_M60_r3.gr,512,2.05941,COMPLETE
cactus_g10_M80_r1.gr,1024,3.79168,COMPLETE
cactus_g10_M80_r2.gr,3072,4.41854,COMPLETE
cactus_g10_M80_r3.gr,512,3.98569,COMPLETE
cactus_g12_M120_r1.gr,2048,77.0211,COMPLETE
cactus_g12_M120_r2.gr,2048,79.1503,COMPLETE
cactus_g12_M120_r3.gr,4096,79.738,COMPLETE
cactus_g12_M150_r1.gr,8192,120.411,COMPLETE
cactus_g12_M150_r2.gr,2048,142.447,COMPLETE
cactus_g12_M150_r3.gr,2048,125.32,COMPLETE
cactus_g12_M180_r1.gr,4096,267.076,COMPLETE
cactus_g12_M180_r2.gr,2048,281.504,COMPLETE
cactus_g12_M180_r3.gr,2048,293.366,COMPLETE
cactus_g12_M220_r1.gr,18126935,602.546,PARTIAL(3495/4096)
cactus_g12_M220_r2.gr,2048,537.965,COMPLETE
cactus_g12_M220_r3.gr,2048,556.017,COMPLETE
cactus_g12_M260_r1.gr,10686,601.069,PARTIAL(3134/4096)
cactus_g12_M260_r2.gr,5440,601.146,PARTIAL(3041/4096)
cactus_g12_M260_r3.gr,4954635,602.022,PARTIAL(2668/4096)
cactus_g12_M300_r1.gr,1089540,601.668,PARTIAL(1996/4096)
cactus_g12_M300_r2.gr,504101,603.205,PARTIAL(1714/4096)
cactus_g12_M300_r3.gr,53474,603.766,PARTIAL(1799/4096)
cactus_g12_M350_r1.gr,-1789940,609.36,PARTIAL(684/4096)
cactus_g12_M350_r2.gr,-1643254,609.607,PARTIAL(444/4096)
cactus_g12_M350_r3.gr,-498612,605.469,PARTIAL(972/4096)
cactus_g12_M50_r1.gr,8192,5.13686,COMPLETE
cactus_g12_M50_r2.gr,8192,5.65676,COMPLETE
cactus_g12_M50_r3.gr,12288,5.11446,COMPLETE
cactus_g12_M70_r1.gr,4096,9.55181,COMPLETE
cactus_g12_M70_r2.gr,2048,11.7265,COMPLETE
cactus_g12_M70_r3.gr,4096,12.5756,COMPLETE
cactus_g12_M90_r1.gr,8192,29.815,COMPLETE
cactus_g12_M90_r2.gr,2048,30.1112,COMPLETE
cactus_g12_M90_r3.gr,8192,33.3385,COMPLETE
cactus_g8_M110_r1.gr,256,2.21459,COMPLETE
cactus_g8_M110_r2.gr,1536,2.38806,COMPLETE
cactus_g8_M110_r3.gr,128,1.64575,COMPLETE
cactus_g8_M130_r1.gr,128,3.42597,COMPLETE
cactus_g8_M130_r2.gr,128,3.32864,COMPLETE
cactus_g8_M130_r3.gr,128,3.16145,COMPLETE
cactus_g8_M150_r1.gr,128,4.34323,COMPLETE
cactus_g8_M150_r2.gr,512,5.13017,COMPLETE
cactus_g8_M150_r3.gr,128,3.71102,COMPLETE
cactus_g8_M180_r1.gr,128,9.19263,COMPLETE
cactus_g8_M180_r2.gr,256,7.95767,COMPLETE
cactus_g8_M180_r3.gr,128,7.18426,COMPLETE
cactus_g8_M210_r1.gr,128,17.3117,COMPLETE
cactus_g8_M210_r2.gr,256,15.789,COMPLETE
cactus_g8_M210_r3.gr,128,14.0211,COMPLETE
cactus_g8_M250_r1.gr,128,30.2975,COMPLETE
cactus_g8_M250_r2.gr,128,33.7316,COMPLETE
cactus_g8_M250_r3.gr,128,33.1569,COMPLETE
cactus_g8_M30_r1.gr,768,0.074486,COMPLETE
cactus_g8_M30_r2.gr,768,0.0654542,COMPLETE
cactus_g8_M30_r3.gr,512,0.0618981,COMPLETE
cactus_g8_M50_r1.gr,256,0.200172,COMPLETE
cactus_g8_M50_r2.gr,128,0.226994,COMPLETE
cactus_g8_M50_r3.gr,128,0.199975,COMPLETE
cactus_g8_M70_r1.gr,256,0.568276,COMPLETE
cactus_g8_M70_r2.gr,128,0.753595,COMPLETE
cactus_g8_M70_r3.gr,128,0.431422,COMPLETE
cactus_g8_M90_r1.gr,128,1.24886,COMPLETE
cactus_g8_M90_r2.gr,128,0.996646,COMPLETE
cactus_g8_M90_r3.gr,512,1.69281,COMPLETE
chain_g10_M100_r1.gr,512,10.6159,COMPLETE
chain_g10_M100_r2.gr,512,9.7679,COMPLETE
chain_g10_M100_r3.gr,512,8.91639,COMPLETE
chain_g10_M120_r1.gr,512,16.3647,COMPLETE
chain_g10_M120_r2.gr,512,16.0608,COMPLETE
chain_g10_M120_r3.gr,512,15.7693,COMPLETE
chain_g10_M150_r1.gr,512,27.9672,COMPLETE
chain_g10_M150_r2.gr,512,27.7113,COMPLETE
chain_g10_M150_r3.gr,512,30.5742,COMPLETE
chain_g10_M180_r1.gr,512,66.2095,COMPLETE
chain_g10_M180_r2.gr,512,66.8729,COMPLETE
chain_g10_M180_r3.gr,512,65.981,COMPLETE
chain_g10_M210_r1.gr,512,103.132,COMPLETE
chain_g10_M210_r2.gr,512,102.478,COMPLETE
chain_g10_M210_r3.gr,512,81.4142,COMPLETE
chain_g10_M250_r1.gr,512,238.366,COMPLETE
chain_g10_M250_r2.gr,512,223.817,COMPLETE
chain_g10_M250_r3.gr,512,224.659,COMPLETE
chain_g10_M300_r1.gr,512,262.82,COMPLETE
chain_g10_M300_r2.gr,512,265.089,COMPLETE
chain_g10_M300_r3.gr,512,283.648,COMPLETE
chain_g10_M40_r1.gr,512,0.47321,COMPLETE
chain_g10_M40_r2.gr,512,0.758831,COMPLETE
chain_g10_M40_r3.gr,512,0.691739,COMPLETE
chain_g10_M60_r1.gr,512,2.14647,COMPLETE
chain_g10_M60_r2.gr,512,2.59772,COMPLETE
chain_g10_M60_r3.gr,512,2.78245,COMPLETE
chain_g10_M80_r1.gr,512,4.42985,COMPLETE
