Filename,Eulerian Circuits,Time Elapsed (s),Status
AIDS_g430_n21_m28_cr8_augmented.gr,288,0.112631,COMPLETE
AIDS_g1339_n11_m17_cr7_augmented.gr,312,0.0931445,COMPLETE
AIDS_g1663_n11_m17_cr7_augmented.gr,592,0.093133,COMPLETE
AIDS_g922_n14_m21_cr8_augmented.gr,480,0.111846,COMPLETE
AIDS_g1294_n10_m14_cr5_augmented.gr,44,0.0658742,COMPLETE
AIDS_g1619_n7_m9_cr3_augmented.gr,6,0.0492336,COMPLETE
AIDS_g1765_n9_m12_cr4_augmented.gr,12,0.0602807,COMPLETE
AIDS_g1974_n15_m24_cr10_augmented.gr,4768,0.142026,COMPLETE
AIDS_g1237_n11_m16_cr6_augmented.gr,112,0.0875127,COMPLETE
AIDS_g478_n9_m12_cr4_augmented.gr,8,0.0548403,COMPLETE
AIDS_g1665_n14_m22_cr9_augmented.gr,2544,0.120853,COMPLETE
AIDS_g366_n13_m21_cr9_augmented.gr,2384,0.120415,COMPLETE
AIDS_g730_n11_m16_cr6_augmented.gr,80,0.0823593,COMPLETE
AIDS_g1051_n7_m9_cr3_augmented.gr,8,0.0493331,COMPLETE
AIDS_g1747_n10_m14_cr5_augmented.gr,32,0.076683,COMPLETE
