Filename,Eulerian Circuits,Time Elapsed (s),Status
PTC_MR_g42_n12_m16_cr5_augmented.gr,24,0.0739369,COMPLETE
PTC_MR_g200_n19_m27_cr9_augmented.gr,960,0.128415,COMPLETE
PTC_MR_g336_n20_m27_cr8_augmented.gr,128,0.108834,COMPLETE
PTC_MR_g123_n21_m30_cr10_augmented.gr,1280,0.163643,COMPLETE
PTC_MR_g190_n10_m13_cr4_augmented.gr,16,0.0602467,COMPLETE
PTC_MR_g311_n11_m15_cr5_augmented.gr,16,0.0712375,COMPLETE
PTC_MR_g239_n13_m19_cr7_augmented.gr,224,0.0933343,COMPLETE
PTC_MR_g75_n13_m19_cr7_augmented.gr,224,0.0932965,COMPLETE
PTC_MR_g149_n13_m18_cr6_augmented.gr,80,0.0822936,COMPLETE
PTC_MR_g112_n7_m9_cr3_augmented.gr,4,0.0493372,COMPLETE
PTC_MR_g151_n20_m27_cr8_augmented.gr,192,0.109611,COMPLETE
PTC_MR_g146_n11_m14_cr4_augmented.gr,12,0.0604245,COMPLETE
PTC_MR_g158_n23_m31_cr9_augmented.gr,864,0.140591,COMPLETE
PTC_MR_g66_n7_m9_cr3_augmented.gr,4,0.0490997,COMPLETE
PTC_MR_g132_n11_m16_cr6_augmented.gr,96,0.0821645,COMPLETE
