Filename,Eulerian Circuits,Time Elapsed (s),Status
inf-power_sub0_n21_m36_cr16.gr,130427781120,4.83264,COMPLETE
inf-power_sub2_n15_m23_cr9.gr,414720,0.122079,COMPLETE
inf-power_sub5_n15_m28_cr14.gr,93450240,0.760122,COMPLETE
inf-euroroad_sub6_n25_m36_cr12.gr,792576,0.398549,COMPLETE
inf-euroroad_sub7_n28_m41_cr14.gr,4227072,1.89014,COMPLETE
inf-euroroad_sub1_n22_m31_cr10.gr,19200,0.175899,COMPLETE
inf-power_sub7_n14_m27_cr14.gr,57507840,0.716518,COMPLETE
inf-power_sub6_n13_m19_cr7.gr,11520,0.0926844,COMPLETE
inf-euroroad_sub5_n25_m36_cr12.gr,1299456,0.395495,COMPLETE
inf-power_sub4_n15_m26_cr12.gr,10782720,0.250593,COMPLETE
inf-euroroad_sub0_n26_m40_cr15.gr,16288128,3.31734,COMPLETE
inf-euroroad_sub3_n33_m50_cr18.gr,825163776,49.8575,COMPLETE
inf-euroroad_sub4_n22_m32_cr11.gr,80640,0.218591,COMPLETE
inf-power_sub3_n29_m44_cr16.gr,258785280,10.1609,COMPLETE
inf-power_sub1_n29_m43_cr15.gr,318504960,4.45406,COMPLETE
inf-euroroad_sub2_n25_m35_cr11.gr,119040,0.238631,COMPLETE
