Filename,N,M,Genus,Status,Circuits,Time(s),PartialRaw
PTC_MR_g42_n12_m16_cr5_augmented.gr,12,16,5,OK,24,4.2076e-05,96
PTC_MR_g200_n19_m27_cr9_augmented.gr,19,27,9,OK,960,0.000679091,1920
PTC_MR_g336_n20_m27_cr8_augmented.gr,20,27,8,OK,128,0.00016199,512
PTC_MR_g123_n21_m30_cr10_augmented.gr,21,30,10,OK,1280,0.000909748,2560
PTC_MR_g190_n10_m13_cr4_augmented.gr,10,13,4,OK,16,2.3016e-05,64
PTC_MR_g311_n11_m15_cr5_augmented.gr,11,15,5,OK,16,1.9222e-05,64
PTC_MR_g239_n13_m19_cr7_augmented.gr,13,19,7,OK,224,0.00032007,896
PTC_MR_g75_n13_m19_cr7_augmented.gr,13,19,7,OK,224,0.000311935,896
PTC_MR_g149_n13_m18_cr6_augmented.gr,13,18,6,OK,80,0.000108973,320
PTC_MR_g112_n7_m9_cr3_augmented.gr,7,9,3,OK,4,6.911e-06,16
PTC_MR_g151_n20_m27_cr8_augmented.gr,20,27,8,OK,192,0.000144042,384
PTC_MR_g146_n11_m14_cr4_augmented.gr,11,14,4,OK,12,1.3325e-05,24
PTC_MR_g158_n23_m31_cr9_augmented.gr,23,31,9,OK,864,0.000560898,1728
PTC_MR_g66_n7_m9_cr3_augmented.gr,7,9,3,OK,4,7.101e-06,16
PTC_MR_g132_n11_m16_cr6_augmented.gr,11,16,6,OK,96,8.6697e-05,192
